date,time,temperature,dewpoint,humidity,wind_speed,wind_gust_speed,wind_dir_degrees,wind_dir,pressure,windchill,heatindex,precip,precip_rate,precip_1hr,precip_today,solarradiation,uv_index,temperature_indoor,humidity_indoor,software_type
1/9/16,0:02:00,1.7,-0.4,86,0,9.7,,,North,998.9,,,,0,0,0,,,,weewx-3.2.1
1/9/16,0:37:00,1.6,-0.3,87,3.2,4.8,191,191,South,998.9,,,0,0,0,0,,,,weewx-3.2.1
1/9/16,1:12:00,1.7,-0.3,87,3.2,9.7,213,213,SSW,998.9,,,0,0,0,0,,,,weewx-3.2.1
1/9/16,1:47:00,1.7,-0.3,87,3.2,9.7,205,205,SSW,998.5,,,0,0,0,0,,,,weewx-3.2.1
1/9/16,2:22:00,1.8,0,88,1.6,12.9,198,198,SSW,998.9,,,0,0,0,0,,,,weewx-3.2.1
1/9/16,2:57:00,1.8,0,88,0,3.2,,,North,998.9,,,0,0,0,0,,,,weewx-3.2.1
1/9/16,3:32:00,1.7,0.1,89,1.6,8,182,182,South,998.5,,,0,0,0,0,,,,weewx-3.2.1
1/9/16,4:07:00,2.4,0.9,90,1.6,4.8,178,178,South,998.5,,,0,0,0,0,,,,weewx-3.2.1
1/9/16,4:42:00,2.7,1.2,90,1.6,6.4,217,217,SW,997.9,,,0,0,0,0,,,,weewx-3.2.1
1/9/16,5:17:00,2.6,1.1,90,3.2,8,171,171,South,997.9,,,0,0,0,0,,,,weewx-3.2.1
1/9/16,5:52:00,3.1,1.6,90,9.7,12.9,185,185,South,997.5,0.4,,0,0,0,0,,,,weewx-3.2.1
1/9/16,6:27:00,3.3,2,91,4.8,11.3,140,140,SE,997.5,,,0,0,0,0,,,,weewx-3.2.1
1/9/16,7:02:00,3.8,2.4,91,11.3,11.3,208,208,SSW,997.5,0.9,,0,0,0,0,,,,weewx-3.2.1
1/9/16,7:37:00,4.2,2.9,91,9.7,17.7,193,193,SSW,997.5,1.8,,0,0,0,0,,,,weewx-3.2.1
1/9/16,8:12:00,4.3,3,91,11.3,20.9,133,133,SE,997.5,1.6,,0,0,0,0,,,,weewx-3.2.1
1/9/16,8:47:00,4.6,3.1,90,8,20.9,158,158,SSE,997.5,2.6,,0,0,0,0,,,,weewx-3.2.1
1/9/16,9:27:00,4.8,3.1,89,4.8,16.1,179,179,South,997.2,,,0,0,0,0,,,,weewx-3.2.1
